log_label,log_token,comparison,n_unique_windows,n_unique_scenes,n_runs,n_records,curvature_common_valid_n,curvature_common_valid_fraction,delta_ADE_mm,delta_FDE_mm,delta_Shape,delta_mean_geometric_acceleration,delta_integrated_squared_acceleration,delta_mean_absolute_curvature
L1,4de1fda752ae4cf8b650a5245734eb4c,"Fixed SG(5,2) - Raw",1063,34,50,53150,41606,0.7828033866415804,-0.7782465225824359,-2.015535081215839,-0.7415780787524389,-0.2514816585907525,-0.9041974564464419,-0.07878585734784249
L1,4de1fda752ae4cf8b650a5245734eb4c,"Validation-B-selected - Fixed SG(5,2)",1063,34,50,53150,41606,0.7828033866415804,-1.1367308834760876,1.4763937709375183,-0.04265350173749051,-0.03757958898956862,-0.06460436211245059,-0.013494991926065543
L1,4de1fda752ae4cf8b650a5245734eb4c,Validation-B-selected - Raw,1063,34,50,53150,41606,0.7828033866415804,-1.9149774060585234,-0.5391413102783202,-0.7842315804899292,-0.28906124758032115,-0.9688018185588925,-0.09228084927390803
L2,69271ec7af1f446ca16820ac46d2047a,"Fixed SG(5,2) - Raw",632,20,50,31600,28082,0.8886708860759494,-1.0353682579226886,-1.0577376682406738,-0.7017412365613269,-0.23457165190770254,-0.7820216663831249,-0.03323225491894177
L2,69271ec7af1f446ca16820ac46d2047a,"Validation-B-selected - Fixed SG(5,2)",632,20,50,31600,28082,0.8886708860759494,-1.385470523175962,0.7365746069884088,-0.04897941586449943,-0.0390577207574668,-0.07056334684349364,-0.004409117541800625
L2,69271ec7af1f446ca16820ac46d2047a,Validation-B-selected - Raw,632,20,50,31600,28082,0.8886708860759494,-2.420838781098651,-0.3211630612522648,-0.7507206524258263,-0.27362937266516935,-0.8525850132266185,-0.037641372460742395
L3,7a0fde44c3504eaeb18f9ad83bed65bc,"Fixed SG(5,2) - Raw",460,15,50,23000,21711,0.9439565217391305,-1.194207093009228,-0.7458572710782184,-0.8971342370510259,-0.28661659993976357,-1.126273967594913,-0.031210637240436115
L3,7a0fde44c3504eaeb18f9ad83bed65bc,"Validation-B-selected - Fixed SG(5,2)",460,15,50,23000,21711,0.9439565217391305,-1.48386918597517,0.5185401166044825,-0.024353579314819435,-0.045935871600780796,-0.09619929387849381,-0.005043588496834584
L3,7a0fde44c3504eaeb18f9ad83bed65bc,Validation-B-selected - Raw,460,15,50,23000,21711,0.9439565217391305,-2.6780762789843977,-0.22731715447373577,-0.9214878163658455,-0.33255247154054435,-1.2224732614734068,-0.0362542257372707
L4,d7fd2bb9696d43af901326664e42340b,"Fixed SG(5,2) - Raw",124,4,50,6200,5978,0.9641935483870968,-1.5454320167943567,-2.408499533535641,-1.0464425503753063,-0.3261013054751581,-1.5178133678822139,-0.013572402691594754
L4,d7fd2bb9696d43af901326664e42340b,"Validation-B-selected - Fixed SG(5,2)",124,4,50,6200,5978,0.9641935483870968,-4.429605199547939,1.6831629218211606,-0.01982129973309896,-0.05408959462127137,-0.13855132125774322,-0.0021741054093557897
L4,d7fd2bb9696d43af901326664e42340b,Validation-B-selected - Raw,124,4,50,6200,5978,0.9641935483870968,-5.975037216342295,-0.7253366117144804,-1.0662638501084052,-0.3801909000964295,-1.6563646891399573,-0.015746508100950542
L5,eda311bda86f4e54857b0554639d6426,"Fixed SG(5,2) - Raw",187,6,50,9350,8782,0.9392513368983957,-1.448715288300989,-0.7059987188863365,-0.875477205602569,-0.29218330038044066,-1.1404240912735526,-0.01817391389608779
L5,eda311bda86f4e54857b0554639d6426,"Validation-B-selected - Fixed SG(5,2)",187,6,50,9350,8782,0.9392513368983957,-1.3000627887034562,0.29248813188419037,-0.04548869684467983,-0.04501358971716886,-0.09015463137014315,-0.0014944219987605963
L5,eda311bda86f4e54857b0554639d6426,Validation-B-selected - Raw,187,6,50,9350,8782,0.9392513368983957,-2.7487780770044448,-0.4135105870021461,-0.9209659024472487,-0.3371968900976095,-1.230578722643696,-0.019668335894848385
L6,f61e86a4241b484484da143725dce8fc,"Fixed SG(5,2) - Raw",280,9,50,14000,13704,0.9788571428571429,-1.334709860577102,0.24293161066541777,-0.8906403473092438,-0.29146519856314573,-1.1169936939225174,-0.012850990971546067
L6,f61e86a4241b484484da143725dce8fc,"Validation-B-selected - Fixed SG(5,2)",280,9,50,14000,13704,0.9788571428571429,-1.2511844732471613,-0.2496759178653878,-0.028381756617858717,-0.041962568544117465,-0.08859704280643824,-0.002528663475545761
L6,f61e86a4241b484484da143725dce8fc,Validation-B-selected - Raw,280,9,50,14000,13704,0.9788571428571429,-2.585894333824263,-0.0067443071999700455,-0.9190221039271024,-0.3334277671072632,-1.2055907367289558,-0.015379654447091828
L7,f93e8d66ce4b4fbea7062d19b1fe29fb,"Fixed SG(5,2) - Raw",155,5,50,7750,6490,0.8374193548387097,-1.950235834520513,-2.611735280421945,-1.4427314550286616,-0.5040243150334686,-3.078605599513818,-0.05226584402115353
L7,f93e8d66ce4b4fbea7062d19b1fe29fb,"Validation-B-selected - Fixed SG(5,2)",155,5,50,7750,6490,0.8374193548387097,-0.9406064808652699,1.4349332666877765,-0.029479172092809335,-0.04585696592518399,-0.10572043038557674,-0.004671398867588817
L7,f93e8d66ce4b4fbea7062d19b1fe29fb,Validation-B-selected - Raw,155,5,50,7750,6490,0.8374193548387097,-2.8908423153857825,-1.1768020137341684,-1.472210627121471,-0.5498812809586525,-3.184326029899395,-0.056937242888742336
