comparison,metric,threshold_mm,total_count,exceed_count,exceed_rate,conditional_mean_mm,conditional_median_mm,conditional_p75_mm,conditional_p90_mm,conditional_p95_mm,conditional_max_mm
"Fixed SG(5,2) - Raw",ADE,0.0,145050,62705,0.4322992071699414,4.482262613443558,2.3290661538613033,5.37191158784367,10.61890988210683,15.385426046183158,100.21487065997503
"Fixed SG(5,2) - Raw",ADE,1.0,145050,46955,0.32371596001378833,5.827102717527747,3.4143321272507574,6.909260426411102,12.974280188943688,18.33810196318573,100.21487065997503
"Fixed SG(5,2) - Raw",ADE,5.0,145050,16763,0.11556704584625992,11.851401146553979,8.932255399724864,14.08122181743343,22.626728791404194,27.62400327914602,100.21487065997503
"Fixed SG(5,2) - Raw",ADE,10.0,145050,7152,0.049307135470527404,18.264506464830273,15.178607340957607,21.62464231886102,28.59831760919514,37.48687980580705,100.21487065997503
"Fixed SG(5,2) - Raw",FDE,0.0,145050,68277,0.47071354705274043,17.343020648542744,11.513734701761313,22.243912491509032,41.36453699770666,55.08808223907106,267.7682125310494
"Fixed SG(5,2) - Raw",FDE,1.0,145050,63603,0.4384901758014478,18.575872934496736,12.542113385773824,23.56365004648131,43.04839699300089,56.92603994531758,267.7682125310494
"Fixed SG(5,2) - Raw",FDE,5.0,145050,49734,0.34287487073422956,22.987396719939266,15.54510782306384,28.31878593193815,46.70049218678011,63.78592981210029,267.7682125310494
"Fixed SG(5,2) - Raw",FDE,10.0,145050,36852,0.2540641158221303,28.439069315863204,20.724720587577128,34.4359642990405,53.063444465680654,73.05359955694112,267.7682125310494
Validation-B-selected - Raw,ADE,0.0,145050,63302,0.4364150293002413,8.226053866821628,4.470517648134747,10.679434805545007,21.91355933952911,29.653827773933035,126.92103227270235
Validation-B-selected - Raw,ADE,1.0,145050,52290,0.36049638055842814,9.859079668064773,5.822432940094657,13.12368935108895,24.09441871840869,31.75613298595199,126.92103227270235
Validation-B-selected - Raw,ADE,5.0,145050,29972,0.2066321957945536,15.28057512260026,11.385789927050222,19.971659137464155,30.235785320790967,37.162558043891956,126.92103227270235
Validation-B-selected - Raw,ADE,10.0,145050,16686,0.11503619441571872,21.816959283167037,18.645544551920217,26.66172461849976,36.184276418652544,43.11095927839198,126.92103227270235
Validation-B-selected - Raw,FDE,0.0,145050,20614,0.14211651154774216,11.306928509592629,7.1335833427852435,14.763151736325725,25.77278095064018,35.52082209790533,247.624705137101
Validation-B-selected - Raw,FDE,1.0,145050,17950,0.12375043088590142,12.897462614906999,8.695440781576968,16.32397230781468,27.703147031723592,37.70921748379573,247.624705137101
Validation-B-selected - Raw,FDE,5.0,145050,12944,0.08923819372630128,16.767453480727042,12.385714757341404,20.0486924437836,32.0287517486726,43.39690053144942,247.624705137101
Validation-B-selected - Raw,FDE,10.0,145050,7966,0.0549189934505343,22.68822513115381,17.73515004032844,26.199894408645008,39.596816105083036,52.49923474041607,247.624705137101
