model,seed,run_id,epsilon,baseline_selected_candidate,epsilon_selected_candidate,same_as_epsilon0,near_tie,selected_candidate,selected_family,feasible_candidate_count,top_two_jerk_gap,near_tie_threshold
GRU,0,P2B_011_log_primary_GRU_s0,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,7,0.1392194179455516,0.016478618763171693
GRU,1,P2B_012_log_primary_GRU_s1,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,8,0.015931417696745886,0.01286981190549418
GRU,2,P2B_013_log_primary_GRU_s2,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,7,0.06428029167778415,0.01438169494762458
GRU,3,P2B_014_log_primary_GRU_s3,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,8,0.018405820865276312,0.01494375510962574
GRU,4,P2B_015_log_primary_GRU_s4,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,3,0.3697552119678251,0.013543085260312995
GRU,5,P2B_016_log_primary_GRU_s5,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,7,0.01564176536898154,0.012342127979576616
GRU,6,P2B_017_log_primary_GRU_s6,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.08081995432878963,0.014999017344873442
GRU,7,P2B_018_log_primary_GRU_s7,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,4,0.26257271017221717,0.015379677581684507
GRU,8,P2B_019_log_primary_GRU_s8,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,4,0.1607706907002503,0.013138834253100529
GRU,9,P2B_020_log_primary_GRU_s9,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.03927883517190345,0.01464527594584772
LSTM,0,P2B_021_log_primary_LSTM_s0,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,8,0.01618812802216696,0.012579912369992745
LSTM,1,P2B_022_log_primary_LSTM_s1,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.02007564342688606,0.012477106662210509
LSTM,2,P2B_023_log_primary_LSTM_s2,0.0,sg_w5_p2,sg_w5_p2,True,True,sg_w5_p2,SG,8,0.013726362362841638,0.014371966892536812
LSTM,3,P2B_024_log_primary_LSTM_s3,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.03134936124233245,0.013045089824143185
LSTM,4,P2B_025_log_primary_LSTM_s4,0.0,qreg_l01,qreg_l01,True,False,qreg_l01,QReg,3,0.25333533276073616,0.011691555590334806
LSTM,5,P2B_026_log_primary_LSTM_s5,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,5,0.17388046411560187,0.01308873333091501
LSTM,6,P2B_027_log_primary_LSTM_s6,0.0,sg_w5_p2,sg_w5_p2,True,True,sg_w5_p2,SG,9,0.019217864242178084,0.020610227037047183
LSTM,7,P2B_028_log_primary_LSTM_s7,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,6,0.07913892000113032,0.01668061180343144
LSTM,8,P2B_029_log_primary_LSTM_s8,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,5,0.1208787160411876,0.011753360996019127
LSTM,9,P2B_030_log_primary_LSTM_s9,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,8,0.02559907956286611,0.013294145809599358
MLP,0,P2B_001_log_primary_MLP_s0,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.03930706448695598,0.020195635519960963
MLP,1,P2B_002_log_primary_MLP_s1,0.0,sg_w5_p2,sg_w5_p2,True,False,sg_w5_p2,SG,8,0.08201917369693779,0.021662113268542928
MLP,2,P2B_003_log_primary_MLP_s2,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,7,0.09120074149182988,0.018754443320613486
MLP,3,P2B_004_log_primary_MLP_s3,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.1721482797295073,0.019335401288592107
MLP,4,P2B_005_log_primary_MLP_s4,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.0812622051321179,0.024020471701316676
MLP,5,P2B_006_log_primary_MLP_s5,0.0,qreg_l01,qreg_l01,True,False,qreg_l01,QReg,4,0.2595246492685377,0.02427393378434304
MLP,6,P2B_007_log_primary_MLP_s6,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,7,0.12233658052424867,0.020160776341631947
MLP,7,P2B_008_log_primary_MLP_s7,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.1920645970852446,0.02392294991106943
MLP,8,P2B_009_log_primary_MLP_s8,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,8,0.08738641414465731,0.018114919525410847
MLP,9,P2B_010_log_primary_MLP_s9,0.0,qreg_l1,qreg_l1,True,False,qreg_l1,QReg,7,0.1338073228252188,0.019621168479736367
